entry,exit,period,n,pf_maker,sum_net_maker,win_rate
spread_base,no_tp_sl2_h144,2025-06,262,1.11,0.23785,0.1756
spread_base,no_tp_sl2_h144,2025-07,261,1.627,1.45644,0.2644
spread_base,no_tp_sl2_h144,2025-08,392,1.194,0.6645,0.2347
spread_base,no_tp_sl2_h144,2025-09,611,1.201,0.94827,0.1538
spread_base,no_tp_sl2_h144,2025-10,412,1.659,2.47721,0.2282
spread_base,no_tp_sl2_h144,2025-11,501,1.795,3.72122,0.2535
spread_base,no_tp_sl2_h144,2025-12,774,1.09,0.58015,0.1912
spread_base,no_tp_sl2_h144,2026-01,772,2.195,7.18353,0.2539
spread_base,no_tp_sl2_h144,2026-02,619,1.811,4.8801,0.1987
spread_base,no_tp_sl2_h144,2026-03,853,1.315,2.31846,0.2157
spread_base,no_tp_sl2_h144,2026-04,739,0.668,-1.98279,0.157
spread_base,no_tp_sl2_h144,2026-05,39,0.342,-0.22439,0.0769
spread_sparse,no_tp_sl2_h144,2025-06,30,1.515,0.19986,0.2667
spread_sparse,no_tp_sl2_h144,2025-07,65,2.909,1.26024,0.4923
spread_sparse,no_tp_sl2_h144,2025-08,120,0.79,-0.28551,0.2333
spread_sparse,no_tp_sl2_h144,2025-09,77,2.142,0.74647,0.3506
spread_sparse,no_tp_sl2_h144,2025-10,163,3.027,4.32117,0.2577
spread_sparse,no_tp_sl2_h144,2025-11,133,0.917,-0.16301,0.203
spread_sparse,no_tp_sl2_h144,2025-12,267,0.703,-0.9295,0.2285
spread_sparse,no_tp_sl2_h144,2026-01,134,1.684,1.18698,0.3358
spread_sparse,no_tp_sl2_h144,2026-02,138,0.406,-1.44366,0.0797
spread_sparse,no_tp_sl2_h144,2026-03,156,2.03,1.44588,0.4231
spread_sparse,no_tp_sl2_h144,2026-04,112,1.638,0.60162,0.3661
spread_sparse,no_tp_sl2_h144,2026-05,1,0.0,-0.01487,0.0
two_stage,no_tp_sl2_h144,2025-06,31,1.16,0.06828,0.2258
two_stage,no_tp_sl2_h144,2025-07,67,2.812,1.25347,0.4925
two_stage,no_tp_sl2_h144,2025-08,124,0.638,-0.52635,0.2177
two_stage,no_tp_sl2_h144,2025-09,78,2.149,0.75135,0.359
two_stage,no_tp_sl2_h144,2025-10,165,2.834,4.02796,0.2545
two_stage,no_tp_sl2_h144,2025-11,135,0.895,-0.21163,0.2
two_stage,no_tp_sl2_h144,2025-12,270,0.8,-0.63901,0.2296
two_stage,no_tp_sl2_h144,2026-01,135,1.639,1.13718,0.3333
two_stage,no_tp_sl2_h144,2026-02,138,0.4,-1.47844,0.0797
two_stage,no_tp_sl2_h144,2026-03,157,1.994,1.42043,0.4204
two_stage,no_tp_sl2_h144,2026-04,115,1.525,0.53191,0.3565
two_stage,no_tp_sl2_h144,2026-05,1,0.0,-0.01487,0.0
two_stage_predeclared,no_tp_sl2_h144,2025-06,152,1.268,0.38759,0.1974
two_stage_predeclared,no_tp_sl2_h144,2025-07,182,2.543,2.65876,0.3571
two_stage_predeclared,no_tp_sl2_h144,2025-08,317,0.849,-0.45847,0.2114
two_stage_predeclared,no_tp_sl2_h144,2025-09,252,1.724,1.52326,0.2778
two_stage_predeclared,no_tp_sl2_h144,2025-10,348,2.783,6.26472,0.2931
two_stage_predeclared,no_tp_sl2_h144,2025-11,382,1.459,1.98728,0.2382
two_stage_predeclared,no_tp_sl2_h144,2025-12,583,0.759,-1.46946,0.1732
two_stage_predeclared,no_tp_sl2_h144,2026-01,514,2.153,5.37446,0.2879
two_stage_predeclared,no_tp_sl2_h144,2026-02,447,0.878,-0.66126,0.1499
two_stage_predeclared,no_tp_sl2_h144,2026-03,516,1.529,2.53304,0.2829
two_stage_predeclared,no_tp_sl2_h144,2026-04,415,0.93,-0.25103,0.2434
two_stage_predeclared,no_tp_sl2_h144,2026-05,10,0.118,-0.10853,0.1
