panel,entry,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy,owner_recall_w18,jaccard_w18,rule_precision_w18,n_owner_w18,n_rule_overlap_w18,pf_2026_04_maker,n_2026_04,sum_net_2026_04,pass_pf_1_3,pass_overlap_line
E1,spread_expand_chg8,baseline_tp5_sl2_h72,6202,1.245,10.47028,0.3541,1.037,0.2523,0.0452,0.0521,1284,6213,0.899,731,-0.48544,False,False
E1,spread_expand_chg8,no_tp_sl2_h144,6166,1.415,21.8096,0.2071,1.222,0.2523,0.0452,0.0521,1284,6213,0.678,731,-1.89447,True,False
E1,spread_expand_chg8,trail4_atr_h144,6166,1.359,15.37714,0.4199,1.141,0.2523,0.0452,0.0521,1284,6213,0.962,731,-0.19605,True,False
E1,R1_stump,baseline_tp5_sl2_h72,156098,1.092,146.80938,0.3268,0.959,0.9977,0.0082,0.0162,1284,156975,1.011,15985,1.65107,False,True
E1,R1_stump,no_tp_sl2_h144,155803,1.119,226.49572,0.1978,1.004,0.9977,0.0082,0.0162,1284,156975,0.961,15987,-6.82508,False,True
E1,R1_stump,trail4_atr_h144,155803,1.212,359.56921,0.3793,1.077,0.9977,0.0082,0.0162,1284,156975,1.118,15987,18.75083,False,True
E1,R2_and3,baseline_tp5_sl2_h72,72704,1.13,111.16399,0.3365,1.01,0.9494,0.0167,0.0209,1284,72793,1.229,6123,15.65363,False,True
E1,R2_and3,no_tp_sl2_h144,72604,1.14,143.44761,0.2124,1.038,0.9494,0.0167,0.0209,1284,72793,1.372,6125,30.4998,False,True
E1,R2_and3,trail4_atr_h144,72604,1.313,288.39018,0.3879,1.19,0.9494,0.0167,0.0209,1284,72793,1.542,6125,41.00017,True,True
E1,R3_confirm,baseline_tp5_sl2_h72,66793,1.142,112.24568,0.3386,1.022,0.9439,0.0181,0.0224,1284,66865,1.293,5609,18.38488,False,True
E1,R3_confirm,no_tp_sl2_h144,66697,1.141,134.27284,0.2147,1.04,0.9439,0.0181,0.0224,1284,66865,1.377,5609,28.39838,False,True
E1,R3_confirm,trail4_atr_h144,66697,1.348,293.51742,0.3895,1.222,0.9439,0.0181,0.0224,1284,66865,1.532,5609,36.97248,True,True
