feature,gain
spread_chg8,28367.891536951065
fast_slow_gap,6825.636851549149
spread_mean24,3968.0566272735596
spread_pos96,3930.478276491165
spread_mean8,2853.783656358719
spread_chg24,2258.440098285675
atr_pct,1848.6120953559875
ext_up,1643.6839468479156
ret_12,1597.3691437244415
ret_24,1586.8426735401154
ret_4,1356.213312625885
dense_frac48,1185.5105068683624
vol_ratio_mean8,1185.442162513733
slow_slope_12,1177.2738468647003
volume_z,1136.0054206848145
full_spread,1059.3531997203827
full_ratio_min48,1036.6217691898346
ma_spread_pct,883.3323426246643
atr_pct_ratio96,840.492128610611
pre_range48,774.3516943454742
drawdown24,733.7597947120667
pre_range168,714.5439624786377
close_vs_ema55,708.4921708106995
close_vs_ema200,561.3081111907959
ret_48,543.2838613986969
volume_ratio,480.8149697780609
order_score,423.00929045677185
dense_run_len,9.08784008026123
