feature,gain,split
close_vs_ema200,905.958909034729,32
ext_up,459.7858362197876,22
atr_pct,341.73581171035767,21
drawdown24,321.9524393081665,20
spread_chg24,218.67649936676025,17
slow_slope_12,203.12199020385742,18
fast_slow_gap,178.85528993606567,13
spread_mean24,161.42012214660645,12
atr_pct_ratio96,154.30849933624268,15
ret_4,125.18763828277588,10
volume_ratio,111.85856819152832,10
vol_ratio_mean8,99.73662948608398,10
ma_spread_pct,99.19458961486816,9
close_vs_ema55,77.76699924468994,6
pre_range48,59.81614112854004,5
ret_24,56.16538047790527,5
pre_range168,49.49495983123779,5
spread_chg8,44.501378536224365,5
spread_mean8,42.627360343933105,4
volume_z,40.217430114746094,4
ret_48,39.2787299156189,4
dense_run_len,37.51522922515869,3
ret_12,36.78164005279541,4
full_spread,34.90273952484131,4
spread_pos96,28.95256996154785,3
full_ratio_min48,28.72913932800293,3
order_score,8.314290046691895,1
dense_frac48,7.718379974365234,1
