source,symbol,signal_i,rerender_ok,skip_reason,n_boxes,max_right_bar,max_right_norm,max_conf,tip_conf,tip_hit_strict,tip_hit_92
okx,CFX_USDT_SWAP,379,True,,1,114,0.5718,0.8844,0.0,False,False
okx,ENJ_USDT_SWAP,568,True,,0,-1,0.0,0.0,0.0,False,False
okx,ENS_USDT_SWAP,563,True,,0,-1,0.0,0.0,0.0,False,False
okx,ETHFI_USDT_SWAP,586,True,,0,-1,0.0,0.0,0.0,False,False
okx,FARTCOIN_USDT_SWAP,545,True,,0,-1,0.0,0.0,0.0,False,False
okx,GALA_USDT_SWAP,659,True,,0,-1,0.0,0.0,0.0,False,False
okx,GPS_USDT_SWAP,448,True,,0,-1,0.0,0.0,0.0,False,False
okx,IOST_USDT_SWAP,404,True,,1,70,0.3561,0.3333,0.0,False,False
okx,IOST_USDT_SWAP,559,True,,0,-1,0.0,0.0,0.0,False,False
okx,KAITO_USDT_SWAP,567,True,,0,-1,0.0,0.0,0.0,False,False
okx,KMNO_USDT_SWAP,483,True,,0,-1,0.0,0.0,0.0,False,False
okx,KMNO_USDT_SWAP,564,True,,0,-1,0.0,0.0,0.0,False,False
okx,MEME_USDT_SWAP,562,True,,1,79,0.3994,0.4911,0.0,False,False
okx,NEIRO_USDT_SWAP,550,True,,1,92,0.4629,0.5938,0.0,False,False
okx,OP_USDT_SWAP,661,True,,0,-1,0.0,0.0,0.0,False,False
okx,PEPE_USDT_SWAP,572,True,,0,-1,0.0,0.0,0.0,False,False
okx,PNUT_USDT_SWAP,551,True,,0,-1,0.0,0.0,0.0,False,False
okx,POPCAT_USDT_SWAP,551,True,,0,-1,0.0,0.0,0.0,False,False
okx,PYTH_USDT_SWAP,553,True,,0,-1,0.0,0.0,0.0,False,False
okx,RSR_USDT_SWAP,557,True,,0,-1,0.0,0.0,0.0,False,False
okx,RVN_USDT_SWAP,381,True,,0,-1,0.0,0.0,0.0,False,False
okx,SHELL_USDT_SWAP,562,True,,1,150,0.7475,0.4537,0.0,False,False
okx,STRK_USDT_SWAP,549,True,,1,160,0.7995,0.3531,0.0,False,False
okx,STX_USDT_SWAP,553,True,,0,-1,0.0,0.0,0.0,False,False
okx,SUI_USDT_SWAP,372,True,,0,-1,0.0,0.0,0.0,False,False
okx,TRB_USDT_SWAP,364,True,,0,-1,0.0,0.0,0.0,False,False
okx,UMA_USDT_SWAP,416,True,,1,60,0.3064,0.6013,0.0,False,False
okx,VIRTUAL_USDT_SWAP,373,True,,0,-1,0.0,0.0,0.0,False,False
okx,VIRTUAL_USDT_SWAP,652,True,,0,-1,0.0,0.0,0.0,False,False
okx,ZK_USDT_SWAP,656,True,,0,-1,0.0,0.0,0.0,False,False
